Name,Population,ScienceName,FavoriteSnack,CreditCard,HomeofOrigin
Southern right whale,310158,Eubalaena australis,Carboxymethylcellulose Sodium Glycerin,670608025033923262,United States
"Gecko, barking",124649,,,3534183453977772,
Black-tailed prairie dog,412804,Cynomys ludovicianus,Nifedipine,4026967545494868,China
"Plover, three-banded",224501,Charadrius tricollaris,,5610566902232983,Nigeria
"Hornbill, southern ground",184596,Bucorvus leadbeateri,METFORMIN HYDROCHLORIDE,3549304495775585,Albania
Tayra,380083,Eira barbata,,372301841144464,Myanmar
"Possum, common brushtail",133927,Trichosurus vulpecula,,3532499262777837,Spain
Red-billed buffalo weaver,333676,Bubalornis niger,Phendimetrazine Tartrate,5038641670209141654,United States
Puma,30952,,"Absinthium, Aconitum nap., Antimon. tart., Belladonna, Bryonia, Carbolicum acidum, Colchicum, Conium, Ferrum metallicum, Gelsemium, Glonoinum, Hyoscyamus, Ipecac., Iris versicolor, Lycopodium, Nux vom., Petroleum, Phosphorus, Sepia, Symphoricarpus racemosus, Tabacum, Theridion, Zingiber, Echinacea, Hypericum, Passiflora, Valeriana",4936068401633439963,
"Badger, eurasian",64746,Meles meles,"AVOBENZONE, OCTINOXATE",3561251657289173,Greece
Common pheasant,15702,Phasianus colchicus,,5142827638697379,Indonesia
Bushbuck,480530,Tragelaphus scriptus,TRICLOSAN,3544851591231967,Indonesia
Red-billed tropic bird,345221,Phaethon aethereus,,676731005265033896,Indonesia
Southern brown bandicoot,320146,Isoodon obesulus,Oxcarbazepine,,China
Meerkat,260861,Suricata suricatta,,4913145579202962,Brazil
"Bear, black",312934,Ursus americanus,,201832915818762,Indonesia
"Sungazer, yellow-brown",386969,Cordylus giganteus,,633304693255953880,United States
"Coot, red-knobbed",462763,Fulica cristata,,560223513085915722,France
Long-crested hawk eagle,398558,Lophoaetus occipitalis,,3569410020605653,China
"Tern, royal",379658,Thalasseus maximus,Glycerin,4917150574246622,Portugal
"Lemur, brown",169789,Lemur fulvus,,5602242958892142,Sweden
Black-tailed tree creeper,160471,Climacteris melanura,,,Japan
"Squirrel, arctic ground",144106,Spermophilus parryii,Naproxen,5602226015728159,Afghanistan
Nubian bee-eater,452057,Merops nubicus,,5462558181647584,Sweden
"Bear, grizzly",158082,Ursus arctos,Cetylpyridinium Chloride,5007662284959045,Vietnam
Blue wildebeest,60844,Connochaetus taurinus,,4903720166059824051,Philippines
Wolf spider,388585,Lycosa godeffroyi,,201706855965546,Russia
Beisa oryx,75271,Oryx gazella,,30246168140534,Indonesia
Sidewinder,278081,Crotalus cerastes,Hydrocodone Bitartrate And Acetaminophen,5418805130944801,Ukraine
"Deer, barasingha",166574,Cervus duvauceli,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate",6334240482285364,Madagascar
Asian red fox,317951,Vulpes vulpes,,3585545638251984,Philippines
Eurasian hoopoe,479933,Upupa epops,ZINC OXIDE,675957525032837971,China
"Crane, black-crowned",415871,Balearica pavonina,"ANTIMONY POTASSIUM TARTRATE, ATROPA BELLADONNA , BLATTA ORIENTALIS, BRYONIA ALBA WHOLE, ANEMONE AMERICANA, STAR ANISE, IPECAC, LOBELIA INFLATA, NAPHTHALENE, SODIUM SULFATE, ASPIDOSPERMA QUEBRACHO-BLANCO BARK, and STACHYS OFFICINALIS",3552974553723406,Poland
Jabiru stork,263471,Ephippiorhynchus mycteria,,67097403671397924,Russia
Silver-backed fox,354190,Vulpes chama,,4302674411317802,Yemen
Large cormorant,405737,Phalacrocorax carbo,TAMSULOSIN HYDROCHLORIDE,560222499654098036,China
"Heron, boat-billed",165963,Cochlearius cochlearius,Tretinoin,3542265841944455,Norway
Pocket gopher (unidentified),426721,unavailable,Isosorbide Mononitrate,6377619510641854,Brazil
African snake (unidentified),169574,unavailable,BENZALKONIUM CHLORIDE,3564935718151813,Norway
"Rhinoceros, white",438151,Ceratotherium simum,,3556537336014835,Sweden
White-faced tree rat,124749,Echimys chrysurus,LIDOCAINE HYDROCHLORIDE ANHYDROUS and EPINEPHRINE,3531767863852287,China
"Gull, lava",293736,Larus fuliginosus,MEROPENEM,5010123699126170,Philippines
"Lizard, blue-tongued",305729,Tiliqua scincoides,Gabapentin,3535250785208819,China
Turtle (unidentified),332492,unavailable,,3541609319257687,Slovenia
Purple grenadier,297669,,,3550423085619072,
"Cardinal, red-capped",233155,Paroaria gularis,Perphenazine and Amitriptyline Hydrochloride,3584197054929916,Sweden
Lava gull,436259,Larus fuliginosus,,4854896215313198,Philippines
"Crane, brolga",441825,Grus rubicundus,Octinoxate and Oxybenzone,4041595126806,Colombia
"Gecko, ring-tailed",9885,Cyrtodactylus louisiadensis,,30150517543721,China
"Weaver, red-billed buffalo",257891,Bubalornis niger,,3545601697929280,Indonesia
"Sloth, two-toed tree",221672,Choloepus hoffmani,,3580725611428800,Germany
"Cobra, cape",420065,Naja nivea,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",4041375561933,Indonesia
"Goose, canada",458159,Branta canadensis,Clindamycin Hydrochloride,,Ukraine
Canadian tiger swallowtail butterfly,302516,Papilio canadensis,,4041370870251972,New Zealand
"Marmot, yellow-bellied",167910,Marmota flaviventris,Ampicillin Sodium,4903282210451301035,Croatia
Ferruginous hawk,329066,Buteo regalis,,3540300994046923,United States
Brazilian tapir,429905,,,0604499604812061741,
Egyptian goose,320706,Alopochen aegyptiacus,,201608836434073,China
"Heron, striated",278830,Butorides striatus,,589379013869699619,China
"Bee-eater, carmine",482949,Merops nubicus,ibuprofen,676726925910796257,Azerbaijan
"Tortoise, burmese brown mountain",363782,Manouria emys,,630426954929125720,United States
"Jackal, indian",308143,Canis aureus,Moexipril Hydrochloride,3553191839497809,Moldova
Asian openbill,377384,Anastomus oscitans,,6771494633544563,China
"Puffin, horned",159059,Fratercula corniculata,,633110292766432031,Thailand
"Lizard, collared",499748,Crotaphytus collaris,,5007668576681452,Poland
Bateleur eagle,211674,Terathopius ecaudatus,Alprostadil,6762012664135344297,Iraq
"Squirrel, eurasian red",274655,Sciurus vulgaris,,5010123159573002,Portugal
Cattle egret,472860,Bubulcus ibis,,3529186673165463,United Kingdom
"Bird, bare-faced go away",40524,Lorythaixoides concolor,Acetaminophen,3567268360793725,China
"Buffalo, african",271195,Snycerus caffer,,3589093332922879,Indonesia
Sockeye salmon,328478,Oncorhynchus nerka,Virginia Live Oak,4936845153902613,Cyprus
African lynx,364072,Felis caracal,,201849875343896,Philippines
"Wallaby, dama",421552,Macropus eugenii,Octinoxate and Titanium dioxide,30051916125047,United States
"Magpie, australian",168228,Gymnorhina tibicen,,3583133770256541,Russia
Platypus,4983,Ornithorhynchus anatinus,,3549772922780750,China
Green vine snake,29230,Oxybelis fulgidus,,3572254217161145,Russia
Northern elephant seal,92836,Mirounga angustirostris,"BRYONIA ALBA ROOT, EUPHRASIA STRICTA, CALCIUM SULFIDE, SODIUM CHLORIDE, PHOSPHORUS, ANEMONE PATENS, RUMEX CRISPUS ROOT, and SILICON DIOXIDE",3563192771070776,Indonesia
"Skua, long-tailed",436931,Stercorarius longicausus,,201725601220915,Sudan
Gambel's quail,354236,Callipepla gambelii,,3562093656101184,Ireland
Ovenbird,154809,Seiurus aurocapillus,"Citrus limonum, Echinacea, Scrophularia nodosa, Teucrium Scorodonia, Baptisia tinctoria, Lobelia inflata, Phytolacca decandra, Pinus sylvestris, Zincum gluconicum, Thuja occidentalis, Capsicum annuum,",,Argentina
"Waterbuck, defassa",282349,Kobus defassa,Acetaminophen,560224875728370816,Poland
,418225,unavailable,Salicylic Acid,30521042811884,China
,161101,Cochlearius cochlearius,,3581520504324425,China
,230644,Mirounga leonina,glycopyrrolate,3574533340753607,Philippines
Kalahari scrub robin,487674,Certotrichas paena,,,Egypt
"Puffin, horned",295382,Fratercula corniculata,,490564286239422963,Nicaragua
"Rattlesnake, eastern diamondback",192063,Crotalus adamanteus,Sumatriptan Succinate,5038309223804311,Brazil
"Wallaby, dama",402710,Macropus eugenii,,3581839595193162,Japan
"Jackal, indian",137549,,,3533779865477805,
Burchell's gonolek,385931,Laniaurius atrococcineus,ALCOHOL,3588692544847625,Argentina
Barasingha deer,134809,Cervus duvauceli,mefloquine hydrochloride,3541199700935216,Brazil
Clark's nutcracker,65110,Nucifraga columbiana,,3567227432849162,Indonesia
"Grouse, greater sage",15013,Centrocercus urophasianus,Nifedipine,5100172742912681,France
Grey-footed squirrel,297036,Paraxerus cepapi,Galantamine,5002357142343889,China
Sportive lemur,475279,,,3548115480024966,
"Mongoose, javan gold-spotted",45583,Herpestes javanicus,,0604416872497373,Central African Republic
"Lemur, brown",440043,Lemur fulvus,Lorazepam,3583163183049316,Mongolia
Black-tailed deer,69922,Odocoileus hemionus,Promethazine Hydrochloride,30185746969602,Pakistan
"Buffalo, asian water",498820,Bubalus arnee,Diltiazem Hydrochloride,,Indonesia
Red-headed woodpecker,244728,Melanerpes erythrocephalus,Metronidazole,5610103606620260696,China
Dusky rattlesnake,32675,Crotalus triseriatus,,,Argentina
Fork-tailed drongo,419465,,,30050908382525,
"Baboon, savanna",496337,Papio cynocephalus,Salicylic Acid,5602258311804772,Indonesia
"Gazelle, thomson's",284633,Gazella thompsonii,"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone",5445698260871275,China
Crested porcupine,37527,Hystrix cristata,,374283474316585,Colombia
Malleefowl,371797,Leipoa ocellata,"Homosalate, Octinoxate, Zinc Oxide, and Octocrylene",5002350957824515,Philippines
"Wambenger, red-tailed",299173,,,5602248721363998,
"Oryx, beisa",72478,Oryx gazella,Eucalyptol,3581615556810261,China
Common melba finch,244322,Pytilia melba,Lidocane,63042201606422683,Belarus
"Reedbuck, bohor",277287,Redunca redunca,"OCTINOXATE, ZINC OXIDE",3553252315962144,United States
Common turkey,28580,Meleagris gallopavo,,3542755642300295,Portugal
Giant otter,243562,Pteronura brasiliensis,Diltiazem Hydrochloride,3553146309031785,China
Common raccoon,309652,Procyon lotor,calcipotriene and betamethasone dipropionate,670674949244295781,Russia
Small-clawed otter,113283,Aonyx cinerea,Lamotrigine,30058335645679,Russia
"Squirrel, grey-footed",38517,Paraxerus cepapi,,06042494251460053,China
Pampa gray fox,312253,Pseudalopex gymnocercus,ibuprofen,5100170526831366,Brazil
"Bear, american black",303394,Ursus americanus,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,30323425178902,Jordan
,457054,Bassariscus astutus,Tadalafil,,Brazil
"Fox, savanna",194486,Dusicyon thous,Metoclopramide hydrochloride,337941710962571,Philippines
"Cobra, cape",318075,Naja nivea,,3580232020836780,China
Laughing dove,103534,Streptopelia senegalensis,,4041370567372701,Armenia
"Cat, toddy",41844,Paradoxurus hermaphroditus,MENTHOL,5100141234722510,Ukraine
"Turkey, wild",182009,Meleagris gallopavo,MORPHINE SULFATE,4917393203403657,Mexico
Swamp deer,235257,Cervus duvauceli,,201602010057487,Afghanistan
"Porcupine, prehensile-tailed",120068,Coendou prehensilis,Desogestrel and Ethinyl Estradiol,4844094351352047,United States
Clark's nutcracker,9865,,venlafaxine hydrochloride,5048377284525263,
"Trumpeter, green-winged",341186,Psophia viridis,TITANIUM DIOXIDE,6771215451134504,Japan
"Crane, sarus",211466,Grus antigone,,5411700967156859,Nicaragua
"Possum, pygmy",498946,Acrobates pygmaeus,coagulation factor IX human,5108757821510653,United Kingdom
White rhinoceros,176810,Ceratotherium simum,OTC ANTIMICROBIAL DRUG PRODUCT,6373497802815310,China
Arctic fox,316335,Alopex lagopus,Benzocaine,201500747593578,Syria
Red lava crab,309652,Graspus graspus,Gabapentin,30067266092181,Saudi Arabia
"Bustard, denham's",7234,Neotis denhami,Acetaminophen,5208226523958205,Russia
,498455,,Folic Acid,3552719241173351,
Scarlet macaw,159431,Ara macao,EPIDERMAL GROWTH FACTOR,3576483298328176,Ukraine
Pied kingfisher,151554,Ceryle rudis,,4041599505431787,Poland
Mocking cliffchat,222016,Thamnolaea cinnmomeiventris,,,Sierra Leone
"Moorhen, purple",337068,,,6762018261211970,
"Cardinal, red-capped",43297,Paroaria gularis,FAMOTIDINE,5602225416921611,Mexico
,31271,Gyps fulvus,"Avobenzone,Octocrylene,Oxybenzone,Homosalate,Octisalate",,China
"Boa, mexican",319222,,Melaleuca Pollen,3572483958797037,
Rock dove,11420,,ALUMINUM CHLOROHYDRATE,67626989352250812,
Miner's cat,117718,Bassariscus astutus,,3528897079362246,Panama
Python (unidentified),361066,unavailable,,5010127769639087,China
"Tortoise, burmese black mountain",93477,Manouria emys,Acetaminophen,6331108744237920522,Mongolia
"Crab, sally lightfoot",321027,Graspus graspus,Nifedipine,3572673917020014,Colombia
"Colobus, black and white",405568,Colobus guerza,Metformin Hydrochloride,3560797020590870,Philippines
"Butterfly, canadian tiger swallowtail",19383,,cetirizine hydrochloride,3584395361483284,
"Gonolek, burchell's",180790,Laniaurius atrococcineus,,3559867190018748,Russia
"Jackal, indian",289194,Canis aureus,,,Peru
"Baboon, olive",335313,Papio cynocephalus,Acetaminophen,3582260049724875,China
Roe deer,336757,Capreolus capreolus,,4917036188851016,Indonesia
African darter,342110,Anhinga rufa,,3562172234709906,Portugal
"Peccary, white-lipped",31292,Tayassu pecari,,6333870331541722828,Tanzania
Cheetah,341973,Acinynox jubatus,,30163000904458,Poland
Black-backed magpie,149085,Gymnorhina tibicen,DOCUSATE SODIUM,4405226589282353,Israel
Cook's tree boa,18912,Corallus hortulanus cooki,,5610344935838527,Poland
Long-necked turtle,373400,Chelodina longicollis,,6759966344541729,Lithuania
American marten,127793,Martes americana,DIOSCOREA VILLOSA ROOT,5405785357041041,Indonesia
"Capuchin, brown",439303,Cebus apella,,5641829386268285267,China
"Dog, bush",306031,Speothos vanaticus,estradiol,5300293113601840,Philippines
"Turtle, long-necked",196206,Chelodina longicollis,,,Russia
"Ibis, puna",259618,Plegadis ridgwayi,MORPHINE SUFATE,6771942833528701431,Mexico
"Mongoose, javan gold-spotted",259549,Herpestes javanicus,Fluoride and Potassium Nitrate,5048379040837321,China
Radiated tortoise,358628,Geochelone radiata,"Aconite 30c, Aesculus 30c, Belladonna 30c, Bovista 30c, Hepar Sulph 30c, Hyoscyamus 30c, Ignatia 30c, Silicea 30c, Sticta 30c",5602232947296588,Malta
Red-breasted cockatoo,301935,Eolophus roseicapillus,,,Malta
,433710,Castor canadensis,,63043301338996258,United Kingdom
Black-capped capuchin,66477,Cebus apella,Phentermine Resin,371638735987206,China
"Mongoose, eastern dwarf",268202,Helogale undulata,ulmus pumila pollen,6771929607091034,Finland
Least chipmunk,239713,Eutamias minimus,,3534101583706374,Mexico
Ibex,57174,Capra ibex,,5602221973564159,Vietnam
"Boar, wild",444923,Sus scrofa,MORPHINE SULFATE,6761206226311750,Thailand
Old world fruit bat (unidentified),108297,,Sodium Fluoride,5602227522811298,
Crested barbet,495533,Trachyphonus vaillantii,,5602231341489229,Russia
"Otter, oriental short-clawed",174991,Aonyx cinerea,,5020908986888425267,Russia
"Loris, slender",379932,Loris tardigratus,furosemide,3545786379347602,Bolivia
"Turaco, violet-crested",446591,Tauraco porphyrelophus,,633451774812142927,Russia
"Pelican, brown",47673,,Arizona Ash,67612859340763232,
"Rhea, greater",326703,Rhea americana,Lovastatin,3563571575591030,China
Purple moorhen,385081,Porphyrio porphyrio,Clonazepam,3548644840301475,Poland
"Dove, white-winged",212714,Zenaida asiatica,Loblolly Pine,30143339718316,Somalia
"Heron, striated",346338,Butorides striatus,BUPIVACAINE HYDROCHLORIDE,30288872549659,Kazakhstan
Common wolf,137829,Canis lupus,,36607654508761,Ukraine
Laughing kookaburra,346172,Dacelo novaeguineae,ALPRAZOLAM,5100175924678418,China
European wild cat,449733,Felis silvestris lybica,Chloroxylenol,3565063413346395,Benin
"Rhea, common",402377,Rhea americana,OCTINOXATE and TITANIUM DIOXIDE,3581423783374122,Botswana
Eastern dwarf mongoose,85920,Helogale undulata,,3542525696783559,Argentina
Weeper capuchin,357181,Cebus nigrivittatus,"ASPIRIN, IBUPROFEN, ACETAMINOPHEN, ALCOHOL, BENZALKONIUM CHLORIDE, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, BENZALKONIUM CHLORIDE, LIDOCAINE, BENZOCAINE, ALCOHOL",5602240225001000,Philippines
"Ringtail, common",265400,Pseudocheirus peregrinus,CAPTORPIL,630416840203103446,Thailand
Indian porcupine,96682,Hystrix indica,,4903021040905842,Saudi Arabia
"Pie, rufous tree",438801,Dendrocitta vagabunda,clonazepam,5602240725196151,Mexico
"Owl, burrowing",102306,Speotyte cuniculata,Nicotine Polacrilex,3561475462309211,Canada
Little cormorant,447303,Phalacrocorax niger,BENZALKONIUM CHLORIDE,6759039779284163,Syria
"Kudu, greater",121610,Tragelaphus strepsiceros,clorazepate dipotassium,676358756202714434,Croatia
"Crane, blue",264284,Anthropoides paradisea,Trihexyphenidyl Hydrochloride,374622829148260,Canada
Black-tailed tree creeper,78047,Climacteris melanura,FUSARIUM VASINFECTUM,676267646022958966,United States
Sandhill crane,60030,Grus canadensis,,4936087844631794,China
"Penguin, little blue",112199,Eudyptula minor,Haloperidol Decanoate,5602251759189962,China
"Wombat, common",36266,Vombatus ursinus,,,China
"Waxbill, blue",459267,Uraeginthus angolensis,,3539875072980294,China
Green-backed heron,405788,Butorides striatus,,3535245654551208,Canada
King cormorant,367463,Phalacrocorax albiventer,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE",3541966833202528,Mexico
Common boubou shrike,470807,Laniarius ferrugineus,Dyclonine Hydrochloride and Glycerin,3528214071773471,Indonesia
"Possum, common brushtail",463441,Trichosurus vulpecula,,67632649317036118,Ivory Coast
"Pheasant, ring-necked",10979,Phasianus colchicus,,6331107662400083814,Sweden
"Bustard, stanley",181525,Neotis denhami,HEPARIN SODIUM,5602244112162252420,Namibia
White-necked raven,10469,Corvus albicollis,,372301539005837,France
"Owl, madagascar hawk",351670,Ninox superciliaris,,5602225450001080,Uzbekistan
Indian star tortoise,117727,Geochelone elegans,meclizine hydrochloride,,Russia
Long-billed cockatoo,94516,Cacatua tenuirostris,,5439613991077199,Croatia
"Possum, western pygmy",466622,Cercatetus concinnus,,0604987796061230,United States
Huron,441739,Galictis vittata,,633359953677779816,Netherlands
"Stork, greater adjutant",381120,Leptoptilus dubius,,3583372642342135,Yemen
Greater adjutant stork,283361,Leptoptilus dubius,,3580817666265003,Russia
"Rhinoceros, white",44731,Ceratotherium simum,,3582808815368283,France
Slender loris,332428,Loris tardigratus,LIDOCAINE HYDROCHLORIDE ANHYDROUS,3536779921593238,China
Bleeding heart monkey,311044,Theropithecus gelada,Mitoxantrone Hydrochloride,3560204081614798,Brazil
"Marmot, yellow-bellied",57772,Marmota flaviventris,,3532083604551462,Chile
"Stork, painted",442581,Mycteria leucocephala,,3557772956615608,Thailand
Violet-crested turaco,336609,Tauraco porphyrelophus,Desoximetasone,201896638628352,Indonesia
Lapwing (unidentified),128957,Vanellus sp.,Benzocaine,3560084672969268,China
"Dunnart, fat-tailed",223146,Smithopsis crassicaudata,DIMETHICONE,374283497947275,Indonesia
Hummingbird (unidentified),237467,unavailable,,67714079019025212,France
Mountain goat,313340,Oreamnos americanus,,,Albania
Arctic tern,321355,Sterna paradisaea,"Drosera 30C, Spongia 30C, Kali Carbonicum 30C, Phospherous 30C, Ipeacacuhuana 30C, Pulsatilla 30C, Belladonna 30C",201864835481546,China
"Salmon, sockeye",430991,Oncorhynchus nerka,,5271919287852539,Russia
American alligator,67655,Alligator mississippiensis,,6376415029260406,Thailand
Yellow mongoose,247094,Cynictis penicillata,"Apis mel., Berber. vulg., Bryonia, Cantharis, Cinchona, Equisetum hyemale, Ferrum phosphoricum, Gelsemium, Juniperus com., Pareira, Phosphorus, Plantago, Pulsatilla, Sabal, Terebinthina, Uva-ursi, Echinacea, Hydrastis, Lappa, Solidago",3569212124578392,China
Koala,101637,Phascolarctos cinereus,"Influenzinum, Tellurium metallicum, Apis mel., Arsenicum alb., Belladonna, Bryonia, Capsicum, austicum, Cinchona, Conium,Dulcamara, Ferrum phosphoricum, Hepar sulph. calc.,Kali sulph., ycopodium, Merc. viv., Mezereum,Phosphorus, Plantago, Pulsatilla, Silicea,Verbascum, Echinacea, Hydrastis",3528663176333849,Brazil
Turkey vulture,299553,Cathartes aura,nicardipine hydrochloride,560225881882283620,Norway
"Cat, african wild",51902,Felis silvestris lybica,,3569452586942864,Egypt
Giant otter,133378,Pteronura brasiliensis,,,Angola
,211267,Eremophila alpestris,Octinoxate and Titanium Dioxide,5100146741267172,Malaysia
Great white pelican,310429,Pelecans onocratalus,,4771939163400,Saudi Arabia
"Marmot, hoary",321597,Marmota caligata,,,Indonesia
"Bird, bare-faced go away",166728,Lorythaixoides concolor,,5602214211572193525,Sweden
Swallow-tail gull,161597,Creagrus furcatus,,5602213539884692,Indonesia
Golden eagle,197600,Aquila chrysaetos,,3528146423215522,Argentina
"Wallaby, river",238978,Macropus agilis,SALICYLIC ACID,5893176093583705849,China
"Snake, green vine",370793,Oxybelis fulgidus,Ear,3561698409118458,Czech Republic
,216331,Connochaetus taurinus,,3586310635352346,Czech Republic
Yellow-brown sungazer,65806,Cordylus giganteus,,3555194809752953,Poland
"Gorilla, western lowland",223989,Gorilla gorilla,"Eucalyptol , Menthol, Methyl Salicylate ,Thymol",3573569397816963,Portugal
"Crane, black-crowned",476867,Balearica pavonina,pravastatin sodium,3532815026230054,Indonesia
"Tern, royal",219056,Thalasseus maximus,,,Philippines
Turkey vulture,380928,Cathartes aura,,560224021544691826,Mali
Squirrel glider,475287,Petaurus norfolcensis,"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",3536232795380423,China
Manatee,289654,Trichechus inunguis,Acetaminophen,677192130688650603,China
"Cat, european wild",13053,Felis silvestris lybica,,3585215870754984,Albania
Guerza,399997,Colobus guerza,Lamotrigine,3583261324897773,Gambia
Swallow-tail gull,40161,Creagrus furcatus,,,Portugal
Richardson's ground squirrel,358188,Spermophilus richardsonii,Morphine Sulfate,3553854852992754,Morocco
,100397,Tadorna tadorna,,5010124286101105,China
"Armadillo, nine-banded",346392,,"Arnica Montana, Hamamelis Virginiana, Rhus Toxicodendron",6333382962337041,
Agama lizard (unidentified),83786,Agama sp.,Simethicone,3532005586492753,Brazil
"Peacock, blue",464084,Pavo cristatus,atorvastatin calcium,3584899752329402,China
"Legaan, ground",6346,Varanus sp.,,3571928127276934,Canada
Egyptian cobra,70977,Naja haje,MIDAZOLAM HYDROCHLORIDE,5100133452395293,Philippines
"Crab, sally lightfoot",230938,Graspus graspus,,3546116129736624,France
Horned rattlesnake,261257,Crotalus cerastes,Cloves,5602250970327260,Japan
White-tailed jackrabbit,69760,Lepus townsendii,Armodafinil,3532636764111094,China
Blackbuck,212682,,Clonidine Hydrochloride,3584927508309442,
Short-nosed bandicoot,150836,Isoodon obesulus,Titanium Dioxide and Zinc Oxide,3563967581987040,Indonesia
"Duck, white-faced whistling",115516,Dendrocygna viduata,,491144595913747736,Colombia
"Booby, masked",231902,Sula dactylatra,,5501209349531061,Indonesia
"Hyena, striped",282601,,"polyethylene glycol, propylene glycol",3572575339444096,
American Virginia opossum,174703,Didelphis virginiana,Benztropine Mesylate,36531103535037,South Sudan
American woodcock,322446,Scolopax minor,Pinchot Juniper,371224214445865,Philippines
"Crow, house",68483,Corvus brachyrhynchos,Diclofenac Sodium,3587227945940330,China
"Otter, brazilian",493509,Pteronura brasiliensis,West Wheat Grass,4936472851817181,Russia
Radiated tortoise,80605,Geochelone radiata,,4020639323751,Brazil
"Flamingo, greater",108494,Phoenicopterus ruber,acyclovir,3543045835956270,Poland
,375690,Climacteris melanura,,4913136635284185,Morocco
"Bird, secretary",49660,Sagittarius serpentarius,,3575938325118792,Yemen
Openbill stork,106136,Anastomus oscitans,propafenone hydrochloride,4175004910285942,China
"Cormorant, large",82583,Phalacrocorax carbo,ALCOHOL,3542817079158453,Mexico
Great cormorant,118420,Phalacrocorax carbo,,4017959613274,Indonesia
Bonnet macaque,48809,Macaca radiata,"Mineral oil, petrolatum, phenylephrine hcl",,Ivory Coast
Lapwing (unidentified),187415,Vanellus sp.,Cartilago Betula,3542576700594037,China
Swallow-tail gull,190824,Creagrus furcatus,,,Sweden
"Lizard, giant girdled",148279,Cordylus giganteus,Polyvinyl Alcohol and Povidone,3569046320882269,Bolivia
Pacific gull,178838,Gabianus pacificus,GLYCERIN,5641820800140761,Russia
Kinkajou,76297,Potos flavus,,30489950170067,Indonesia
"Dragon, ornate rock",414858,,Penicillin V Potassium,3553536873927931,
,212377,Colobus guerza,,3536739989613187,Philippines
Indian leopard,114654,Panthera pardus,,3556663909235555,Indonesia
"Toucan, red-billed",53264,Ramphastos tucanus,Chlorpheniramine Maleate,3564053845088245,Paraguay
Indian jackal,45232,Canis aureus,White Petrolatum,4017951097410044,France
"Sloth, two-toed tree",169779,Choloepus hoffmani,Midazolam hydrochloride,4844908933248946,Reunion
,171354,Grus canadensis,,3556627814345361,France
White-faced whistling duck,189471,,,3557587229779480,
Brown capuchin,276415,Cebus apella,,6709470408639832431,Indonesia
Red-necked wallaby,465790,Macropus rufogriseus,MORPHINE SULFATE,63049730151368571,Philippines
"Sheep, stone",40475,Ovis dalli stonei,,5602240381997777,Russia
"Stork, woolly-necked",136211,Ciconia episcopus,hydrochlorothiazide,5100172720725881,Iran
Two-toed tree sloth,286005,Choloepus hoffmani,Isosorbide Dinitrate,5535935756198842,Mexico
"Duck, mountain",254479,Hymenolaimus malacorhynchus,triclosan,3547986148638194,Uruguay
"Falcon, prairie",63543,Falco mexicanus,verapamil hydrochloride,3539587687088377,Portugal
"Buffalo, african",151715,Snycerus caffer,SIMVASTATIN,630417077578283029,Morocco
,179628,Papio cynocephalus,Diphenhydramine HCl,5143317517908674,Russia
Little brown dove,172526,Streptopelia senegalensis,amlodipine besylate and atorvastatin calcium,30485274787875,Portugal
Cape clawless otter,483820,Aonyx capensis,,,Philippines
"Fox, grey",435638,Vulpes cinereoargenteus,Tetanus and Diphtheria Toxoids Adsorbed,5007666810623637,Sierra Leone
"Beaver, european",323802,,"Octinoxate, Zinc Oxide, Titanium Dioxide",3530699089998191,
"Dog, black-tailed prairie",270644,Cynomys ludovicianus,"Avobenzone, Octinoxate, Octisalate, and Oxybenzone",3584569515279299,Sweden
Red deer,488527,Cervus elaphus,"Larch,",4017952195320648,Bosnia and Herzegovina
Defassa waterbuck,458068,Kobus defassa,,3558681574165392,China
Bennett's wallaby,215455,Macropus rufogriseus,,6334954784793962,China
Ferruginous hawk,178702,,Zolmitriptan,5460391448698261,
Madagascar fruit bat,112414,Pteropus rufus,,3557592815476244,South Korea
"Kudu, greater",3804,Tragelaphus strepsiceros,Doxycycline Hyclate,201409677901191,France
Galapagos penguin,446869,Spheniscus mendiculus,Titanium Dioxide,5542321403797461,Panama
"Dove, little brown",52953,Streptopelia senegalensis,Carbidopa and Levodopa,6398030547896096,Indonesia
"Gecko, tokay",379259,Gekko gecko,"Loratadine, Pseudoephedrine",3531077479405862,Japan
"Buffalo, american",370701,Bison bison,cyclopentolate hydrochloride,493628218663326004,Hungary
Turkey vulture,284633,Cathartes aura,,4017958665599827,Armenia
Thomson's gazelle,155502,Gazella thompsonii,,3558837006227131,South Africa
Gecko (unidentified),103496,unavailable,,3550366806599844,Argentina
"Lorikeet, scaly-breasted",150294,Trichoglossus chlorolepidotus,Amiodarone Hydrochloride,3569160682501852,Armenia
"Stork, marabou",448151,Leptoptilos crumeniferus,,3529184588337863,Argentina
Arctic fox,191887,Alopex lagopus,,3535017922859790,Mexico
"Squirrel, uinta ground",460052,Spermophilus armatus,,6767421867948604,Portugal
